time_s,gpu_total_MB,gpu_process_MB,cpu_rss_MB
504.41,12168.0,2327.0,0.9
505.49,12168.0,2327.0,0.9
507.89,12168.0,2327.0,0.9
509.03,12234.0,2393.0,0.9
510.12,12254.0,2413.0,0.9
511.25,12256.0,2415.0,0.9
512.34,12256.0,2415.0,0.9
515.33,12256.0,2415.0,0.9
516.39,12256.0,2415.0,0.9
517.51,12256.0,2415.0,0.9
518.59,12256.0,2415.0,0.9
519.69,12256.0,2415.0,0.9
522.61,12256.0,2415.0,0.9
523.71,12256.0,2415.0,0.9
524.79,12256.0,2415.0,0.9
525.86,12256.0,2415.0,0.9
527.01,12256.0,2415.0,0.9
529.88,12256.0,2415.0,0.9
530.97,12256.0,2415.0,0.9
532.07,12256.0,2415.0,0.9
533.16,12256.0,2415.0,0.9
534.2,12262.0,2421.0,0.9
536.21,12262.0,2421.0,0.9
537.28,12262.0,2421.0,0.9
538.39,12262.0,2421.0,0.9
539.44,12262.0,2421.0,0.9
540.54,12262.0,2421.0,0.9
541.64,12172.0,2331.0,0.9
544.39,12266.0,2425.0,0.9
545.47,12266.0,2425.0,0.9
546.58,12266.0,2425.0,0.9
547.75,12270.0,2429.0,0.9
548.85,12276.0,2435.0,0.9
551.4,12276.0,2435.0,0.9
552.49,12276.0,2435.0,0.9
553.57,12282.0,2441.0,0.9
554.65,12288.0,2447.0,0.9
555.77,12288.0,2447.0,0.9
558.0,12294.0,2453.0,0.9
559.08,12298.0,2457.0,0.9
560.17,12298.0,2457.0,0.9
561.31,12298.0,2457.0,0.9
562.41,12298.0,2457.0,0.9
563.51,12306.0,2465.0,0.9
566.07,12386.0,2545.0,0.9
567.2,12386.0,2545.0,0.9
568.31,12386.0,2545.0,0.9
569.39,12386.0,2545.0,0.9
570.5,12386.0,2545.0,0.9
572.81,12386.0,2545.0,0.9
573.91,12386.0,2545.0,0.9
574.98,12386.0,2545.0,0.9
576.03,12386.0,2545.0,0.9
577.11,12386.0,2545.0,0.9
578.19,12386.0,2545.0,0.9
580.64,12386.0,2545.0,0.9
581.72,12386.0,2545.0,0.9
582.8,12386.0,2545.0,0.9
583.88,12386.0,2545.0,0.9
584.97,12386.0,2545.0,0.9
587.87,12386.0,2545.0,0.9
588.98,12386.0,2545.0,0.9
590.07,12386.0,2545.0,0.9
591.18,12386.0,2545.0,0.9
592.28,12386.0,2545.0,0.9
594.99,12386.0,2545.0,0.9
596.09,12386.0,2545.0,0.9
597.28,12386.0,2545.0,0.9
598.36,12386.0,2545.0,0.9
599.47,12386.0,2545.0,0.9
601.24,12386.0,2545.0,0.9
602.33,12386.0,2545.0,0.9
603.42,12386.0,2545.0,0.9
604.51,12386.0,2545.0,0.9
605.58,12386.0,2545.0,0.9
606.69,12386.0,2545.0,0.9
609.11,12386.0,2545.0,0.9
610.22,12386.0,2545.0,0.9
611.31,12386.0,2545.0,0.9
612.39,12386.0,2545.0,0.9
613.5,12386.0,2545.0,0.9
615.46,12386.0,2545.0,0.9
616.58,12386.0,2545.0,0.9
617.72,12386.0,2545.0,0.9
618.8,12386.0,2545.0,0.9
619.93,12386.0,2545.0,0.9
621.02,12458.0,2617.0,0.9
623.46,12458.0,2617.0,0.9
624.53,12458.0,2617.0,0.9
625.62,12458.0,2617.0,0.9
626.74,12458.0,2617.0,0.9
627.85,12458.0,2617.0,0.9
629.78,12458.0,2617.0,0.9
630.87,12458.0,2617.0,0.9
631.94,12458.0,2617.0,0.9
633.02,12458.0,2617.0,0.9
634.06,12458.0,2617.0,0.9
635.13,12458.0,2617.0,0.9
637.55,12458.0,2617.0,0.9
638.64,12458.0,2617.0,0.9
639.73,12458.0,2617.0,0.9
640.89,12458.0,2617.0,0.9
641.98,12458.0,2617.0,0.9
644.4,12458.0,2617.0,0.9
645.51,12458.0,2617.0,0.9
646.62,12458.0,2617.0,0.9
647.7,12458.0,2617.0,0.9
648.8,12458.0,2617.0,0.9
651.4,12458.0,2617.0,0.9
652.51,12478.0,2637.0,0.9
653.6,12478.0,2637.0,0.9
654.72,12478.0,2637.0,0.9
655.83,12478.0,2637.0,0.9
656.92,12478.0,2637.0,0.9
658.96,12478.0,2637.0,0.9
660.04,12478.0,2637.0,0.9
661.15,12478.0,2637.0,0.9
662.24,12478.0,2637.0,0.9
663.34,12478.0,2637.0,0.9
666.29,12478.0,2637.0,0.9
667.35,12478.0,2637.0,0.9
668.56,12478.0,2637.0,0.9
669.71,12478.0,2637.0,0.9
670.84,12478.0,2637.0,0.9
673.45,12478.0,2637.0,0.9
674.61,12478.0,2637.0,0.9
675.71,12478.0,2637.0,0.9
676.8,12478.0,2637.0,0.9
677.87,12478.0,2637.0,0.9
679.6,12478.0,2637.0,0.9
680.69,12478.0,2637.0,0.9
681.86,12478.0,2637.0,0.9
682.97,12478.0,2637.0,0.9
684.06,12478.0,2637.0,0.9
685.18,12478.0,2637.0,0.9
687.66,12478.0,2637.0,0.9
688.72,12478.0,2637.0,0.9
689.8,12478.0,2637.0,0.9
690.87,12478.0,2637.0,0.9
691.93,12478.0,2637.0,0.9
694.87,12478.0,2637.0,0.9
696.0,12478.0,2637.0,0.9
697.11,12478.0,2637.0,0.9
698.19,12478.0,2637.0,0.9
699.31,12478.0,2637.0,0.9
702.03,12478.0,2637.0,0.9
703.13,12478.0,2637.0,0.9
704.17,12478.0,2637.0,0.9
705.24,12478.0,2637.0,0.9
706.34,12478.0,2637.0,0.9
708.73,12478.0,2637.0,0.9
709.85,12478.0,2637.0,0.9
711.01,12478.0,2637.0,0.9
712.09,12478.0,2637.0,0.9
713.18,12478.0,2637.0,0.9
714.83,12478.0,2637.0,0.9
716.37,12478.0,2637.0,0.9
717.48,12478.0,2637.0,0.9
718.57,12478.0,2637.0,0.9
719.68,12478.0,2637.0,0.9
720.79,12478.0,2637.0,0.9
722.93,12478.0,2637.0,0.9
724.08,12478.0,2637.0,0.9
725.15,12478.0,2637.0,0.9
726.25,12478.0,2637.0,0.9
727.38,12478.0,2637.0,0.9
729.78,12478.0,2637.0,0.9
730.88,12436.0,2595.0,0.9
731.96,12436.0,2595.0,0.9
733.07,12436.0,2595.0,0.9
734.16,12442.0,2601.0,0.9
735.24,12448.0,2607.0,0.9
737.82,12448.0,2607.0,0.9
738.92,12456.0,2615.0,0.9
740.04,12456.0,2615.0,0.9
741.13,12456.0,2615.0,0.9
742.26,12456.0,2615.0,0.9
745.1,12456.0,2615.0,0.9
746.17,12456.0,2615.0,0.9
747.25,12456.0,2615.0,0.9
748.35,12456.0,2615.0,0.9
749.45,12456.0,2615.0,0.9
751.72,12456.0,2615.0,0.9
752.78,12456.0,2615.0,0.9
753.87,12456.0,2615.0,0.9
754.98,12456.0,2615.0,0.9
756.07,12456.0,2615.0,0.9
757.2,12456.0,2615.0,0.9
759.37,12456.0,2615.0,0.9
760.4,12456.0,2615.0,0.9
761.44,12456.0,2615.0,0.9
762.49,12456.0,2615.0,0.9
763.57,12456.0,2615.0,0.9
766.37,12456.0,2615.0,0.9
767.45,12456.0,2615.0,0.9
768.54,12456.0,2615.0,0.9
769.69,12456.0,2615.0,0.9
770.81,12476.0,2635.0,0.9
773.56,12476.0,2635.0,0.9
774.67,12476.0,2635.0,0.9
775.74,12476.0,2635.0,0.9
776.87,12476.0,2635.0,0.9
777.96,12476.0,2635.0,0.9
780.0,12476.0,2635.0,0.9
781.11,12476.0,2635.0,0.9
782.2,12476.0,2635.0,0.9
783.32,12476.0,2635.0,0.9
784.5,12476.0,2635.0,0.9
785.62,12476.0,2635.0,0.9
787.7,12476.0,2635.0,0.9
788.79,12476.0,2635.0,0.9
789.95,12482.0,2641.0,0.9
791.09,12482.0,2641.0,0.9
792.23,12482.0,2641.0,0.9
794.32,12482.0,2641.0,0.9
795.43,12482.0,2641.0,0.9
796.54,12482.0,2641.0,0.9
797.65,12482.0,2641.0,0.9
798.75,12482.0,2641.0,0.9
799.83,12482.0,2641.0,0.9
802.39,12482.0,2641.0,0.9
803.48,12482.0,2641.0,0.9
804.59,12482.0,2641.0,0.9
805.74,12482.0,2641.0,0.9
806.84,12482.0,2641.0,0.9
809.44,12482.0,2641.0,0.9
810.53,12482.0,2641.0,0.9
811.63,12482.0,2641.0,0.9
812.75,12482.0,2641.0,0.9
813.83,12482.0,2641.0,0.9
816.35,12482.0,2641.0,0.9
817.42,12482.0,2641.0,0.9
818.48,12482.0,2641.0,0.9
819.56,12482.0,2641.0,0.9
820.7,12482.0,2641.0,0.9
822.57,12482.0,2641.0,0.9
823.65,12482.0,2641.0,0.9
824.73,12482.0,2641.0,0.9
825.85,12482.0,2641.0,0.9
826.99,12482.0,2641.0,0.9
828.13,12482.0,2641.0,0.9
830.83,12370.0,2529.0,0.9
831.94,12454.0,2613.0,0.9
833.02,12454.0,2613.0,0.9
834.14,12454.0,2613.0,0.9
835.23,12456.0,2615.0,0.9
836.84,12456.0,2615.0,0.9
838.0,12456.0,2615.0,0.9
839.14,12456.0,2615.0,0.9
840.23,12456.0,2615.0,0.9
841.38,12456.0,2615.0,0.9
842.52,12456.0,2615.0,0.9
845.07,12456.0,2615.0,0.9
846.13,12456.0,2615.0,0.9
847.22,12456.0,2615.0,0.9
848.32,12458.0,2617.0,0.9
849.44,12464.0,2623.0,0.9
852.27,12464.0,2623.0,0.9
853.41,12478.0,2637.0,0.9
854.56,12478.0,2637.0,0.9
855.71,12478.0,2637.0,0.9
856.84,12478.0,2637.0,0.9
858.65,12478.0,2637.0,0.9
859.83,12510.0,2669.0,0.9
860.97,12510.0,2669.0,0.9
862.05,12510.0,2669.0,0.9
863.2,12510.0,2669.0,0.9
864.29,12510.0,2669.0,0.9
866.67,12510.0,2669.0,0.9
867.77,12510.0,2669.0,0.9
868.86,12510.0,2669.0,0.9
869.94,12510.0,2669.0,0.9
871.01,12510.0,2669.0,0.9
872.68,12510.0,2669.0,0.9
873.79,12510.0,2669.0,0.9
874.83,12510.0,2669.0,0.9
875.9,12510.0,2669.0,0.9
876.97,12510.0,2669.0,0.9
878.06,12510.0,2669.0,0.9
880.23,12510.0,2669.0,0.9
881.31,12510.0,2669.0,0.9
882.38,12510.0,2669.0,0.9
883.47,12510.0,2669.0,0.9
884.53,12510.0,2669.0,0.9
885.56,12510.0,2669.0,0.9
888.2,12510.0,2669.0,0.9
889.31,12510.0,2669.0,0.9
890.38,12510.0,2669.0,0.9
891.45,12510.0,2669.0,0.9
892.61,12510.0,2669.0,0.9
895.43,12510.0,2669.0,0.9
896.49,12510.0,2669.0,0.9
897.53,12510.0,2669.0,0.9
898.65,12510.0,2669.0,0.9
899.72,12410.0,2569.0,0.9
902.72,12494.0,2653.0,0.9
903.85,12494.0,2653.0,0.9
904.92,12494.0,2653.0,0.9
906.01,12494.0,2653.0,0.9
907.13,12494.0,2653.0,0.9
909.89,12494.0,2653.0,0.9
910.98,12494.0,2653.0,0.9
912.06,12494.0,2653.0,0.9
913.17,12494.0,2653.0,0.9
914.29,12494.0,2653.0,0.9
917.15,12494.0,2653.0,0.9
918.26,12494.0,2653.0,0.9
919.45,12494.0,2653.0,0.9
920.53,12506.0,2665.0,0.9
921.61,12506.0,2665.0,0.9
924.23,12514.0,2673.0,0.9
925.31,12514.0,2673.0,0.9
